url,title,year,program,department,faculty,abstract,keywords,is_english
https://vskp.vse.cz/92969_pokrocila-analyza-dat-s-vyuzitim-gpt-4-code-interpreter,Pokročilá analýza dat s využitím GPT-4 code interpreter,2024,Aplikovaná informatika,Katedra informačního a znalostního inženýrství,Fakulta informatiky a statistiky,"Tato bakalářská práce se zaměřuje na využití GPT-4, velkého jazykového modelu vyvinutého společností OpenAI, pro účely pokročilé datové analýzy. Práce zkoumá, jak lze tento model efektivně používat za účelem řešení různých analytických úkolů a jaké výhody a omezení to přináší ve srovnání s tradičními metodami. Praktická část práce obsahuje aplikaci ChatGPT-4 na konkrétní datové sady, kde jsou modely testovány na různých úlohách, od generování textu po komplexní analýzu dat. Výsledky práce ukazují, že ChatGPT-4 může značně zefektivnit procesy datové analýzy, automatizovat určité činnosti prováděné datovými analytiky a usnadnit interpretaci komplexních datových souborů. Práce také identifikuje potenciální implementační a technologické výzvy spojené s využíváním AI v analýze dat, které jsou klíčové pro bezpečné a efektivní využití AI technologií v analýze dat.",GPT-4; pokročilá datová analýza; umělá inteligence; zpětnovazební učení; jazykové modely; interpretace dat; strojové učení; NLP,False
https://vskp.vse.cz/93007_velke-jazykove-modely-llm-zhodnoceni-kvality-generovaneho-textu-pomoci-dat-specifickych-pro-danou-ulohu,Velké jazykové modely (LLM): Zhodnocení kvality generovaného textu pomocí dat specifických pro danou úlohu,2024,Aplikovaná informatika,Katedra systémové analýzy,Fakulta informatiky a statistiky,"Large Language Models (LLMs) have emerged as powerful tools for generating human-like text across various applications. This thesis examines the factors influencing the success of LLMs in text generation tasks, focusing on prompting techniques and the integration of external data within the prompt. The research aims to validate the role of prompt engineering in generating compelling content, particularly in the context of writing marketing newsletters. The thesis begins by introducing the research area of LLMs and prompting, followed by a literary review of relevant prompt engineering techniques. Based on the findings, a set of hypotheses is formulated, outlining the potential impact of these techniques on text generation quality. A controlled experiment is conducted to validate the hypotheses, applying the identified prompting techniques to the task of writing email newsletters with a single LLM (GPT-3.5-turbo-1106). The generated newsletters are evaluated using quantitative metrics and A/B/n test campaign to an audience (n=550) of registered attendees of a university event. The results of the experiment confirmed the important role of prompting techniques and external data. On the specific task of newsletter writing, usage of advanced prompting techniques resulted in 15% improvement in click-through rate for a given prompting technique leveraging external data (Improving the click-through rate from 4% to 19%), demonstrating prompt engineering and external data play an important role when creating effective texts that engage the audience. Techniques leveraging specification of tone of voice, providing additional context data, relevant examples or industry best practice instructions have shown to have the largest impact on the resulting text and achieved superior performance on the measured task compared to a base prompt solution without prompting techniques.",AI; context data; Generative AI; model evaluation; text generation; LLM; prompt engineering,False
https://vskp.vse.cz/92747_customizace-llm-specifickych-modulu-v-ramci-chatgpt,Customizace LLM-specifických modulů v rámci ChatGPT,2024,Aplikovaná informatika,Katedra informačního a znalostního inženýrství,Fakulta informatiky a statistiky,"The goal of this thesis is to develop two distinct custom versions of ChatGPT tailored for specific modules from scratch, and to evaluate whether these customized versions perform better and are easier to use compared to the standard ChatGPT. For the evaluation and comparison, experts in relevant fields will be invited to test these large language models and provide their insights. The motivation for this thesis stems from the growing interest in and possibilities for creating customized versions of ChatGPT. Key considerations include usability, differences from the standard version, and ease of use. Additionally, there is a personal interest of the author in determining whether the custom models created will remain useful beyond the completion of this thesis and if they will present any future applications. This thesis is divided into two main sections: theoretical and practical. The theoretical part provides a comprehensive overview and introduction to large language models, describing the specifics of Generative Pre-trained Transformers (GPTs). It covers the essential concept of prompts, discussing how they can be effectively utilized by users. Additionally, this section describes the complexities of fine-tuning and the principles of RAG in the context of these models. The practical part of the thesis describes the development of two distinct custom versions of ChatGPT. The first version is designed to assist with creating resumes, while the second is tailored to aid users in preparing for the Japanese Language Proficiency Test (JLPT), as well as helping teachers with lesson planning and school-related tasks. This section not only details the creation process but also examines the specific functionalities and applications of each customized version by the experts. In the conclusion of the thesis, the evaluation results of the customized ChatGPT were summarized. The conclusion also outlined potential applications for these specialized GPTs, suggesting ways they could be effectively integrated into relevant fields to enhance task-specific functionalities and user experiences.",ChatGPT; GPTs; Customization; Adaptability; LLM,False
https://vskp.vse.cz/92820_vyuziti-generativni-umele-inteligence-v-marketingu,Využití generativní umělé inteligence v marketingu,2024,Aplikovaná informatika,Katedra informačních technologií,Fakulta informatiky a statistiky,"Tato bakalářská práce se věnuje zkoumání potenciálu generativní umělé inteligence (GAI) v marketingu, se zaměřením na její schopnost generovat obsah pro marketingové kampaně. Hlavním cílem je vyhodnotit schopnosti GAI vytvářet marketingové materiály, které jsou srovnatelné s výtvory marketingových/designových profesionálů a zároveň mají potenciál efektivně oslovit široké publikum. Teoretická část definuje umělou inteligenci a detailně rozebírá koncept GAI a její aplikace v marketingu. Praktická část využívá kvantitativní výzkum k hodnocení schopností GAI produkovat marketingový obsah prostřednictvím dotazníkového šetření a analýzy vygenerovaných výsledků. Závěrečná část shrnuje získané poznatky a představuje doporučení pro efektivní využití GAI v marketingových strategiích. Z výzkumných zjištění vyplývá, že generativní umělá inteligence disponuje schopností produkovat vizuálně atraktivní obsah, který dokáže konkurovat a mnohdy i předčit lidskou kreativitu. Tato schopnost může být velmi účinná při vytváření různých reklamních kampaní. Výzkum ale také ukazuje, že i přesto, že GAI má již nyní schopnost produkovat vizuálně přesvědčivé obrázky, stále se v nich objevují jemné stopy, které odlišují jejich původ od lidské tvorby a negativně tak působí na vnímání atraktivity reklamy potenciálními zákazníky.",generativní umělá inteligence; umělá inteligence; marketing,False
https://vskp.vse.cz/92937_vliv-umele-inteligence-na-duveryhodnost-informaci-a-tvorba-dezinformacniho-obsahu,Vliv umělé inteligence na důvěryhodnost informací a tvorba dezinformačního obsahu,2024,Aplikovaná informatika,Katedra informačního a znalostního inženýrství,Fakulta informatiky a statistiky,"Tato bakalářská práce se zabývá tématem umělé inteligence a její rolí ve vytváření dezinformačního obsahu. Cílem práce je provést teoretický přehled dané oblasti, učinit základní analytické závěry, a doplnit je o kvalitativní analýzu vybraných případových úloh. V teoretické části jsou nejprve představeny potenciální hrozby ze strany umělé inteligence, následně vymezen pojem “dezinformační obsah“ a v poslední řadě učiněno zasazení generativní umělé inteligence do kontextu vytváření dezinformací. Ve výzkumné části je pak provedena kvalitativní analýza vybraných případových úloh. Výběr případových úloh byl omezen na problematiku deepfake útoků. Jednotlivé případy jsou nejdříve stručně představeny a následně mezi sebou porovnávány na základě stanovených kritérií. Výsledkem komparace je pak zodpovězení výzkumných otázek a formulování univerzální teorie, která se snaží zobecnit myšlenky z jednotlivých úloh tak, aby následně byla aplikovatelná i na podobné problémy a sloužila jako návod, jak se vyvarovat a předejít útokům pomocí deepfake technologie.",dezinformační obsah; deepfake; hrozba; komparace; umělá inteligence,False
https://vskp.vse.cz/92556_vyuzitelnost-chatgpt-pro-vyhledavani-informacnich-zdroju,Využitelnost ChatGPT pro vyhledávání informačních zdrojů,2024,Informační média a služby,Katedra informačního a znalostního inženýrství,Fakulta informatiky a statistiky,"Informační zdroje v rámci internetu jsou velice proměnlivé. Aktivně internet používá veliké procento světové populace. Díky tomu existuje v jeho rámci obrovské množství dohledatelných informačních zdrojů. Umění správného vyhledávání informací nebylo nikdy relevantnější. V tomto ohledu se v poslední době šíří používání umělé inteligence, konkrétně nástroje ChatGPT. Velké množství běžných uživatelů používá výstupy tohoto chatbota pro pokrytí svých informačních potřeb. Často dochází k přímému přejímání výstupů tohoto nástroje pro potřebné nabytí informací. Na základě vlastních zkušeností s tím, jak časově náročný může být proces vyhledávání pramenů, si pokládám otázku, jestli je možné využít ChatGPT pro urychlení zmíněného procesu. Hlavním cílem práce je konkrétně vyhodnotit, jak kvalitní jsou zdroje poskytnuté tímto chatbotem pro účely rešerše. Kromě tohoto hlavního cíle, vyhodnocuji v této práci i tři stanovené hypotézy, které souhrnně odráží mé domněnky o vztahu aktuálnosti zdrojů vzhledem k tématům, jejich odbornosti a formátu. Pro získání potřebného kontextu jsem provedl odbornou rešerši existující literatury. V teoretické části shrnuji pohledy na definici, hlavní oblasti oboru umělé inteligence a klíčové etapy jejího vývoje a následně se v této části zaměřuji na oblast zpracování přirozeného jazyka (NLP). Opět jsem zde zpracoval přehled o historii NLP, oblastech jeho nasazení a stručně charakterizuji techniky a komponenty, jenž považuji za zásadní. V praktické části přistupuji k otestování zdrojů poskytnutých prostřednictvím nástroje ChatGPT. Tyto zdroje jsem získal dotazováním se na prameny pro několik tokenových témat, které jsem si stanovil. Sběr zdrojů jsem provedl dvakrát pro posouzení případných vlivů časového odstupu. U všech těchto zdrojů jsem provedl jejich ohodnocení dle kritérií CRAAP filtru a na závěr posoudil jejich celkovou kvalitu.",AI; rešerše; ChatGPT; informace,False
https://vskp.vse.cz/92756_dopady-umele-inteligence-na-spolecnost,Dopady umělé inteligence na společnost,2024,Informační média a služby,Katedra informačního a znalostního inženýrství,Fakulta informatiky a statistiky,"Práce se zabývá dopady umělé inteligence na společnost v blízké budoucnosti. Cílem práce je mapovat, které obory a aspekty lidského života budou nejvíce ovlivněny. Analýzou příležitostí i výzev, které zavádění UI představuje, se tato práce snaží poskytnout komplexní porozumění společenským důsledkům technologie UI. Popisuje fenomén umělé inteligence a zabývá se jednotlivými obory a konkrétními příklady, kdy UI ovlivní naše životy – ve školství, v médiích, v medicíně atd. Práce analyzuje budoucí pracovní trh po začlenění umělé inteligence do praxe a popisuje, které povolání a skupiny budou ovlivněny. Může sloužit jako vodítko pro přizpůsobení se novým technologickým trendům. Praktická část se zabývá vlastním výzkumem vnímání trendu umělé inteligence ve společnosti. Ve vzorku společnosti pozoruje postoje a vnímání UI a zkoumá, co ovlivňuje tyto postoje.",Umělá inteligence; Dopady; Pracovní trh; Generativní umělá inteligence ; Velké jazykové modely ; Vliv; Společnost,False
https://vskp.vse.cz/92879_vybrane-problemove-okruhy-kyberneticke-bezpecnosti-u-zaku-druheho-stupne-zakladni-skoly,Vybrané problémové okruhy kybernetické bezpečnosti u žáků druhého stupně základní školy,2024,Informační média a služby,Katedra informačního a znalostního inženýrství,Fakulta informatiky a statistiky,"Cílem práce je zjistit, s jakými oblastmi kybernetické bezpečnosti mají žáci druhého stupně základních škol největší problém a na tyto problémové oblasti vytvořit metodické materiály pro vzorové hodiny. Dílčím cílem je tyto vzorové hodiny sama odučit a získat zpětnou vazbu od kolegyně a asistentky pedagoga.  První část kvalifikační práce se zabývá vymezením pojmů v oblasti kybernetické bezpečnosti s přihlédnutím na situaci žáků 6.-9. třídy. Dále jej popsán současný stav výuky kybernetické bezpečnosti na základních školách včetně charakteristik preventivních programů od různých organizací. Okrajově je zmíněna i umělá inteligence, a to jednak jako zdroj rizik v kyberprostoru, ale také její využití ve vzdělávání. Druhá část se zaměřuje na výzkum a praxi přímo ve třídě. Bylo provedeno dotazníkové šetření na žácích ZŠ Campanus v Praze a jeho výsledky sloužily jako podklad pro tvorbu metodik do výuky. V rámci této práce byly vytvořeny dvě metodiky pro hodiny informatiky. Obě využívají pracovní listy a interaktivních aplikací pro aktivizaci a opakovaní. Pro získání zpětné vazby byly provedeny polostrukturované rozhovory, jeden s asistentkou pedagoga a druhý se zkušenější kolegyní.",výuka informatiky ; základní škola; Kybernetická bezpečnost,False
https://vskp.vse.cz/92767_eticke-kodexy-umele-inteligence,Etické kodexy umělé inteligence,2024,Informační média a služby,Katedra informačního a znalostního inženýrství,Fakulta informatiky a statistiky,"Tato bakalářská práce se zabývá etickými otázkami souvisejícími s umělou inteligencí (AI). Práce zkoumá historický vývoj umělé inteligence, definici jejích klíčových pojmů i momentů a možnosti využití napříč různými odvětvími. Dále analyzuje význam etiky v kontextu AI a identifikuje etická dilemata spojená s jejím rozvojem. Práce také představuje existující etické směrnice pro AI a provádí analýzu jejich účinnosti. Na základě získaných poznatků pomocí dotazníkového šetření navrhuje strategie pro řešení těchto etických výzev pomocí krátkého etického kodexu. Cílem práce je přispět k diskusi o etických otázkách využívání umělé inteligence a poskytnout pohled na problematiku etiky AI pro praktické aplikace a budoucí výzkum.",etika; umělá inteligence; etický kodex; transparentnost; diskriminace; bezpečnost; důvěra,False
https://vskp.vse.cz/92860_komparativna-evaluacia-ai-chatbotov-vo-vzdelavani-presnost-a-uplnost-generovanych-informacii,Komparatívna evaluácia AI chatbotov vo vzdelávaní: Presnosť a úplnosť generovaných informácií,2024,Informační média a služby,Katedra informačních technologií,Fakulta informatiky a statistiky,"Táto práca sa zaoberá komparatívnou analýzou štyroch pokročilých modelov chatbotov: ChatGPT (GPT-3.5), Copilot (GPT-4), Gemini a LLaMA2, s dôrazom na hodnotenie ich štruktúry odpovedí, pravdivosti a komplexnosti poskytovaných informácií. Práca taktiež poskytuje úvod do problematiky umelej inteligencie a chatbotov. Cieľom bolo analyzovať a porovnať tieto modely z hľadiska ich pravdivosti a úplnosti informácií a identifikovať ich silné a slabé stránky pre aplikácie v školstve. Využité metódy zahŕňali komparatívne hodnotenie a pozorovanie, čím sa zabezpečila objektívnosť a dôkladnosť analýzy. Výsledky odhalili, že každý model má unikátne prednosti vhodné pre rôzne edukačné scenáre: ChatGPT je preferovaný pre základné pedagogické účely, Copilot sa osvedčil v komplexných akademických situáciách pre svoju presnosť, zatiaľ čo Gemini poskytuje rozšírené pokrytie tém, čo ho robí vhodným pre širšie akademické využitie. LLaMA2 nebol testovaný z dôvodu technickej nedostupnosti. Tieto poznatky naznačujú potrebu ďalšieho výskumu a vývoja v oblasti etických a bezpečnostných aspektov AI, aby sa maximalizoval ich potenciál v edukačnom procese.",AI vo vzdelávaní; porovnanie chatbotov; umelá inteligencia; AI chatboti,False
