url,title,program,department,faculty,abstract,keywords
https://vskp.vse.cz/100020_vyuziti-umele-inteligence-v-podnikove-praxi-vytvoreni-chatbota-pro-zakaznickou-podporu,Využití umělé inteligence v podnikové praxi – vytvoření chatbota pro zákaznickou podporu,Aplikovaná informatika,Katedra informačního a znalostního inženýrství,Fakulta informatiky a statistiky,"Tato bakalářská práce popisuje proveditelnost a efektivitu využití generativní umělé inteligence (LLM a architektury RAG) pro automatizaci zákaznické podpory v prostředí e-commerce. Hlavním výsledkem práce je plně funkční AI chatbot, navržený a nasazený do reálného provozu českého e-shopu jawavysocina.cz. Systém byl vyvinut v low-code platformě Voiceflow s integrací ChatGPT 4o-mini a vektorové databáze Pinecone, čímž bylo dosaženo minimalizace latence doporučení produktů o 80 % v porovnání s konkurencí. Na základě testování v ostrém provozu od února do března dokázal chatbot úspěšně a samostatně vyřešit 83 % rutinních dotazů na úrovni L1 podpory bez nutnosti předání lidské podpoře. Analýza reálných konverzací navíc potvrdila vysokou uživatelskou spokojenost, kdy 81 % hodnotících zákazníků udělilo chatbotu 4 nebo 5 bodů z 5 možných. Ekonomické zhodnocení implementace prokázalo přímou úsporu lidského kapitálu a okamžitou rentabilitu s návratností investice (ROI) ve výši 81 %. Práce tak v reálném provozu dokládá, že AI nástroje jsou dnes technicky i nákladově dostupné pro malé a střední podniky, kterým přinášejí měřitelnou konkurenční výhodu.",umělá inteligence; LLM; chatbot; zákaznická podpora; RAG; e-commerce; automatizace
https://vskp.vse.cz/100223_vychyleni-ai-nezadouci-a-misaligned-chovani,Vychýlení AI: Nežádoucí a misaligned chování,Aplikovaná informatika,Katedra informačního a znalostního inženýrství,Fakulta informatiky a statistiky,"Práce analyzuje vývoj nezarovnání (misalignment) umělé inteligence a s ním spojené výzvy, přičemž mapuje období od historických počátků po druhé světové válce až po současné velké jazykové modely. Práce nejprve seznamuje čtenáře s principy AI a zkoumá její vývoj v čase, procesy optimalizace, kvalitu trénovacích dat i technickou infrastrukturu. Dále se text zaměřuje na bezpečnost a konkrétní případy, kdy chování AI ovlivňuje člověka způsobem, který je v rozporu s etickými či bezpečnostními normami. Práce tyto fenomény klasifikuje do konkrétních oblastí a popisuje jejich aplikaci v praxi, včetně situací a prostředí, kde by tyto instance mohly představovat riziko. Práce detailně rozebírá příčiny vzniku nezarovnání, jeho projevy a míru nebezpečnosti v jednotlivých sektorech. Praktická část testuje pět definovaných oblastí nezarovnání na vybraném souboru běžně dostupných modelů pomocí metody black-box testování s využitím adversariálních promptů. Výsledky experimentu ukazují, že zatímco ve dvou oblastech (sykofancie a socioafektivní nesoulad) modely neporušily žádná stanovená pravidla, ve zbývajících třech oblastech – konkrétně u normativního konfliktu, instrumentální konvergence a emergentního nezarovnání – byla identifikována závažná bezpečnostní selhání. V závěru práce autor navrhuje zaměřit další výzkum právě na tyto problematické fenomény.",Umělá inteligence (AI); Velké jazykové modely (LLM); Zarovnání/soulad; Bezpečnost AI; Nezarovnání/nesoulad
https://vskp.vse.cz/100233_hodnoceni-kvality-informaci-na-internetu-chatgpt-vs-google-search,Hodnocení kvality informací na internetu: ChatGPT vs. Google Search,Informační média a služby,Katedra informačního a znalostního inženýrství,Fakulta informatiky a statistiky,"Bakalářská práce se zabývá srovnáním kvality informací poskytovaných generativním modelem ChatGPT a vyhledávačem Google Search. Hlavním cílem práce je na základě stanovených kritérií analyzovat a porovnat výstupy těchto nástrojů a zhodnotit jejich subjektivní vnímání běžnými uživateli.  Teoretická část vymezuje základní koncepty informační vědy, modely informační gramotnosti a specifika digitálního prostředí, včetně rizik spojených s informačním přetížením a dezinformacemi. Práce dále popisuje technické principy fungování webových vyhledávačů a velkých jazykových modelů.  Praktická část kombinuje objektivní experimentální analýzu s kvantitativním dotazníkovým šetřením. Analýza hodnotí kvalitu odpovědí osmi vybraných dotazů z faktografické, vysvětlující, aktuální a kontroverzní oblasti podle pěti kritérií: přesnost, aktuálnost, ověřitelnost, objektivita a relevance. Práce navíc analyzuje konzistenci odpovědí ChatGPT při opakovaném zadání dotazů. Dotazník zkoumá uživatelský pohled. Zaměřuje se na frekvenci a účely využití obou nástrojů, vnímanou důvěryhodnost a ověřování informací napříč věkovými kategoriemi.  Výsledky ukazují, že ChatGPT dosahoval v experimentální analýze celkově vyššího hodnocení než Google Search, zatímco uživatelé nadále vnímali Google Search jako důvěryhodnější a častěji využívaný nástroj. Práce tak poukazuje na rozdíl mezi hodnocenou kvalitou informací a jejich subjektivním vnímáním uživateli.",kvalita informací; Google Search; ChatGPT; uživatelské vnímání
https://vskp.vse.cz/100282_analyza-konvergence-kriminality-v-eu-metodami-strojoveho-uceni,Analýza konvergence kriminality v EU metodami strojového učení,Aplikovaná informatika,Katedra informačního a znalostního inženýrství,Fakulta informatiky a statistiky,"Tato práce se zabývá vývojem kriminality v Evropské unii v období 2013–2023 se zaměřením na analýzu konvergence mezi členskými státy. Cílem práce je zhodnotit, zda dochází ke sbližování úrovně kriminality, a to s využitím kombinace tradičních statistických metod a metod strojového učení. Analýza vychází z dat Eurostatu o kriminalitě a ekonomických ukazatelích, konkrétně HDP na obyvatele. Pro hodnocení vývoje variability kriminality v čase je využita sigma- konvergence, zatímco shluková analýza (K-means) slouží k identifikaci skupin států s podobným profilem kriminality. Zkoumány jsou vybrané typy trestné činnosti, včetně úmyslných vražd, loupeží, vloupání do obydlí a drogové kriminality. Výsledky ukazují, že konvergence kriminality v Evropské unii není jednotná, ale liší se podle typu trestné činnosti. Zatímco u majetkové kriminality lze pozorovat trend sbližování mezi státy, drogová kriminalita zůstává výrazně heterogenní. U násilné kriminality je variabilita mezi státy nízká, což naznačuje, že k významné konvergenci došlo již v minulosti. Shluková analýza odhalila existenci relativně stabilních skupin států, které odpovídají širším socioekonomickým a geografickým vzorcům, zejména rozdílu mezi západní a východní Evropou. Výsledky naznačují, že konvergence probíhá spíše uvnitř těchto skupin než napříč celou Evropskou unií. Práce přispívá k pochopení vývoje kriminality v EU a ukazuje přínos kombinace statistických metod a metod strojového učení při analýze komplexních společenských jevů. Zároveň upozorňuje na význam institucionálních a socioekonomických faktorů při interpretaci mezinárodních srovnání kriminality.",Evropská unie; konvergence; sigma-konvergence; shluková analýza; kriminalita; strojové učení; K-means; Eurostat; časové řady; socioekonomické faktory
https://vskp.vse.cz/100285_vypocetni-analyza-kredibility-internetovych-zdroju-pomoci-jazykovych-modelu,Výpočetní analýza kredibility internetových zdrojů pomocí jazykových modelů,Aplikovaná informatika,Katedra informačního a znalostního inženýrství,Fakulta informatiky a statistiky,"Tato bakalářská práce se zabývá výpočetní analýzou kredibility internetových zdrojů  s využitím velkých jazykových modelů. Hlavním cílem je navrhnout a otestovat metodu,  která k hodnocení důvěryhodnosti médií využívá informace implicitně obsažené v těchto  modelech, konkrétně jejich interní reprezentace a míru jazykové nejistoty. V rámci experimentální části jsou využity modely Llama 3 a Qwen 3 k výpočtu tzv. delta  skóre, které vyjadřuje míru asociace daného zdroje s pozitivními nebo negativními  přídavnými jmény v residuálním streamu jazykového modelu. Tato skóre jsou následně  s perplexitou použita jako prediktory v binární logistické regresi pro klasifikaci zdrojů jako  důvěryhodné a nedůvěryhodné. Navržená metoda je porovnávána s běžnou metodou  přímého dotazování (promptování). Výsledky testování na dvou datasetech různých velikostí prokázaly, že metoda využívající  interní aktivace dosahuje srovnatelné efektivity jako přímé dotazování, přičemž nabízí  jemnější nástroj pro hodnocení a seřazení zdrojů. Výsledky této práce naznačují, že interní  reprezentace jazykových modelů mohou obsahovat signály využitelné pro odhad kredibility  zdrojů. Na větším datasetu však metoda dosahuje pouze mírně lepších výsledků než přímé  dotazování, a proto je třeba její přínos interpretovat opatrně.",kredibilita internetových zdrojů; velké jazykové modely (LLM); interní aktivace; logistická regrese; Llama 3; Qwen 3
https://vskp.vse.cz/100297_schopnost-gen-z-rozlisovat-mezi-lidskym-a-ai-vytvorenym-textem-v-zavislosti-na-urovni-vyuzivani-generativni-umele-inteligence,Schopnost Gen Z rozlišovat mezi lidským a AI vytvořeným textem v závislosti na úrovni využívání generativní umělé inteligence,Multimédia v ekonomické praxi,Katedra multimédií,Fakulta informatiky a statistiky,"Tato bakalářská práce se zabývá schopností zástupců Generace Z rozlišovat mezi texty psanými člověkem a texty vygenerovanými nástroji umělé inteligence v českém jazyce. Hlavním cílem výzkumu bylo zjistit, zda frekvence využívání generativních AI nástrojů a úroveň uživatelských zkušeností ovlivňují úspěšnost detekce syntetického obsahu. Teoretická část práce vymezuje fungování velkých jazykových modelů a koncept AI gramotnosti v kontextu cílové skupiny. Praktická část je založena na kvantitativním dotazníkovém šetření, v němž měli respondenti za úkol určit autorství u ukázek na téma zpravodajství, poezie a příspěvků na fóru. Výsledky výzkumu ukázaly, že celková úspěšnost v odhalování AI textů je 55 %. K překvapivým zjištěním patří, že vyšší frekvence používání ani pokročilé zkušenosti s AI nástroji nevedou k lepším výsledkům při detekci. Navíc se nepotvrdil předpoklad, že by uživatelé dokázali lépe identifikovat výstupy z jazykového modelu, který sami preferují. Práce dochází k závěru, že dnešní generované texty v češtině jsou pro Generaci Z prakticky nerozpoznatelné, což zdůrazňuje nutnost aktivní edukace a průběžného rozvoje AI gramotnosti ve vzdělávacím systému.",Generace Z; generativní umělá inteligence; velké jazykové modely; čeština; LLM; AI gramotnost; detekce syntetického textu
https://vskp.vse.cz/100300_analyza-a-overeni-efektivnich-strategii-pro-tvorbu-uspesneho-youtube-videa-pripadova-studie,Analýza a ověření efektivních strategií pro tvorbu úspěšného YouTube videa (Případová studie),Informační média a služby,Katedra systémové analýzy,Fakulta informatiky a statistiky,"Tato bakalářská práce se zabývá analýzou a optimalizací strategií pro tvorbu videoobsahu na platformě YouTube v kontextu moderních doporučovacích systémů. Hlavním cílem práce je identifikovat faktory úspěšnosti ovlivňující neuronové sítě platformy a následně je empiricky ověřit formou případové studie na autorském kanále „Banda Chlupatých Opic“. Teoretická část kriticky analyzuje evoluci algoritmů od metriky View Count po současné modely založené na hlubokém učení a porovnává oficiální tvrzení o důležitosti doby sledování (Watch Time) s nezávislými studiemi, které u menších kanálů identifikují jako klíčovou vstupní metriku míru prokliku (CTR). Praktická část je koncipována jako experimentální studie typu pre-test/post-test. Srovnává výkonnost kontrolního vzorku (původní tvorba) s experimentálním vzorkem videí, u nichž byly důsledně aplikovány strategie optimalizace metadat, vizuální psychologie (náhledové obrázky) a dramaturgie (retence). Získaná data jsou vyhodnocena prostřednictvím nástroje YouTube Analytics. Výstupem práce je soubor daty podložených doporučení pro začínající tvůrce, která reflektují aktuální mechanismy algoritmické distribuce obsahu.",YouTube; algoritmus; optimalizace obsahu; video marketing; CTR; Watch Time; případová studie
https://vskp.vse.cz/100309_predikce-vysledku-zavodu-formule-1-pomoci-strojoveho-uceni,Predikce výsledků závodů Formule 1 pomocí strojového učení,Data Analytics,Katedra statistiky a pravděpodobnosti,Fakulta informatiky a statistiky,"Formule 1 bývá často označována za sport, jehož výsledky jsou do značné míry předvídatelné a v němž o výsledku závodu často rozhoduje už kvalifikace. Tato práce se proto zaměřuje na otázku, do jaké míry lze výsledek pilota v závodě Formule 1 předpovědět na základě informací dostupných před startem závodu. Současně zkoumá, jak významnou roli v této predikci hraje samotný výsledek kvalifikace ve srovnání s dalšími charakteristikami. Analýza vychází z několika datových zdrojů obsahujících historická data o závodech Formule 1. Pro účely modelování byla data omezena na sezony 2010–2025 a cílová proměnná byla definována jako vícetřídní klasifikace do čtyř tříd: Vítězství, Pódium, Body a Bez bodů. Na takto připravených datech byly porovnány modely rozhodovacího stromu, náhodného lesa, XGBoost, CatBoost a neuronové sítě. Při hodnocení modelů byl kladen důraz nejen na klasické klasifikační metriky, ale i na metriky zohledňující kvalitu pravděpodobnostních predikcí. Výsledky ukazují, že na použitých testovacích datech dosáhl nejlepších hodnot ve většině klasifikačních metrik model CatBoost, avšak rozdíly mezi jednotlivými modely nebyly výrazné. Současně se ukázalo, že nejobtížnější je predikce méně zastoupených tříd Vítězství a Pódium. Interpretace modelů dále naznačuje, že dominantní roli při predikci hraje kvalifikace, zejména startovní pozice a odstup od vítěze kvalifikace, přičemž významnou doplňující roli mají i ukazatele aktuální a dlouhodobé výkonnosti pilota a týmu.",Formule 1; strojové učení; predikce; klasifikace; model; data; závod; kvalifikace
https://vskp.vse.cz/100336_porovnani-moznosti-vyuziti-jazykovych-modelu-pro-reseni-distribucnich-uloh,Porovnání možností využití jazykových modelů pro řešení distribučních úloh,Matematické metody v ekonomii/Ekonometrie a operační výzkum,Katedra ekonometrie,Fakulta informatiky a statistiky,"Předmětem této bakalářské práce je analýza a porovnání schopností současných velkých jazykových modelů při řešení optimalizačních úloh, konkrétně dopravního problému. Práce si klade za cíl zhodnotit, zda a s jakou přesností jsou vybrané jazykové modely (GPT, Claude, Gemini a Grok) schopny nalézt optimální řešení těchto úloh. V teoretické části jsou popsány základní principy fungování jazykových modelů a matematické formulace úloh lineárního programování. Praktická část se pak věnuje návrhu a realizaci testování vybraných jazykových modelů, kdy tyto modely řešily různě rozsáhlé úlohy dopravního problému v základní podobě za různých podmínek (teplota komunikace, způsoby zadání či nařízení metody řešení). Analýza výsledků prokázala, že v současné době žádný z těchto jazykových modelů není schopen spolehlivě nahradit specializované řešitele problémů lineárního programování ani u úloh malého rozsahu (do sta strukturních proměnných). Práce ilustruje aktuální možnosti a omezení umělé inteligence v oblasti operačního výzkumu a nabízí podněty pro další analýzy schopností jazykových modelů v oblasti kvantitativního rozhodování.",Lineární programování; Velké jazykové modely (LLM); Optimalizace; Operační výzkum; Dopravní problém
https://vskp.vse.cz/100350_predikce-vyhry-profesionalnich-zapasu-v-dota-2,Predikce výhry profesionálních zápasů v Dota 2,Matematické metody v ekonomii/Ekonometrie a operační výzkum,Katedra ekonometrie,Fakulta informatiky a statistiky,"This thesis is dedicated to the subject matter of win prediction in an esport title Dota 2. The aim of the thesis is construction of models for prediction with the use of data, which are available before the beginning of the match in the shape of selected heroes and data obtained through the progression of a match at the 10 minute mark, such as difference in gold between teams, difference in taken towers or amount of activated runes. There is description of data in the thesis, the construction of logistic regression, random forest and extreme gradient boosting models. The logistic regression model is constructed with all variables except the difference in gold and experience, which have high multicollinearity with the other variables, but are kept in the random forest and extreme gradient boosting models to capture more complex relationships between variables. All the created models are then evaluated with the use of evaluation metrics and their quality of prediction is compared between them.",win prediction; Dota 2; logistic regression; machine learning models
